STLKEY,sample_code,fish_number,species_name,sample_month,sample_day,sample_year,project_code,data_type_code,fish_length,length_type_name,weight_gm,sex_name,maturity,tag_number,ovaries_number,best_age,age_1,age_2,age_3,age_readability_code
20190194,410129-C-19043,48,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,52,NA,2857.63,Male,7,NA,NA,34,34,NA,NA,2
20190194,410129-C-19043,49,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,51,NA,2721.55,Male,7,NA,NA,31,31,NA,NA,2
20190195,410129-C-19043,5,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,47,NA,2177.24,Male,7,NA,NA,27,27,NA,NA,2
20190194,410129-C-19043,50,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,55,NA,3311.22,Male,7,NA,NA,70,70,NA,NA,3
20190194,410129-C-19043,51,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,49,NA,2585.48,Male,7,NA,NA,38,38,NA,NA,2
20190194,410129-C-19043,52,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,48,NA,2313.32,Male,7,NA,NA,28,28,NA,NA,2
20190194,410129-C-19043,53,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,52,NA,2948.35,Male,7,NA,NA,26,26,NA,NA,2
20190194,410129-C-19043,54,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,54,NA,2676.19,Male,7,NA,NA,35,35,NA,NA,2
20190194,410129-C-19043,55,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,45,NA,1723.65,Male,7,NA,NA,18,18,NA,NA,2
20190194,410129-C-19043,56,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,50,NA,2449.4,Female,7,NA,NA,36,36,NA,NA,2
20190194,410129-C-19043,57,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,52,NA,2585.48,Male,7,NA,NA,29,29,NA,NA,2
20190194,410129-C-19043,58,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,59,NA,4717.36,Male,7,NA,NA,74,74,NA,NA,2
