RecFIN Year,RecFIN Month,RecFIN Week,Agency,District Name,RecFIN Mode Name,RecFIN Water_Area Name,RecFIN Subregion Name,RecFIN Trip Type Name,Species Name,Retained (# fish),Retained (mt),Released Alive (# fish),Released Alive (mt),Released Dead (# fish),Released Dead (mt),Total Mortality (# fish),Total Mortality (mt)
1990,9,35,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,58,0.149,-,-,-,-,58,0.149
1990,9,35,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,16,0.041,-,-,-,-,16,0.041
1990,9,35,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,1,0.003,-,-,-,-,1,0.003
1990,9,35,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,9,35,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,35,0.09,-,-,-,-,35,0.09
1990,9,36,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,11,0.028,-,-,-,-,11,0.028
1990,9,36,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,9,0.023,-,-,-,-,9,0.023
1990,9,36,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,8,0.021,-,-,-,-,8,0.021
1990,9,36,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Anything/Other Species,Yelloweye Rockfish,1,0.003,-,-,-,-,1,0.003
1990,9,36,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,4,0.01,-,-,-,-,4,0.01
1990,9,36,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,12,0.031,-,-,-,-,12,0.031
1990,9,36,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,4,0.01,-,-,-,-,4,0.01
1990,9,37,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,6,0.015,-,-,-,-,6,0.015
1990,9,37,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,9,37,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,3,0.008,-,-,-,-,3,0.008
1990,9,38,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,6,0.015,-,-,-,-,6,0.015
1990,9,38,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,9,39,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,6,0.015,-,-,-,-,6,0.015
1990,8,35,W,Wa Southern Coast,Private/Rental Boats,Estuary,Southern Washington,Salmon,Yelloweye Rockfish,10,0.026,-,-,-,-,10,0.026
1990,9,35,W,Wa Southern Coast,Private/Rental Boats,Estuary,Southern Washington,Salmon,Yelloweye Rockfish,4,0.01,-,-,-,-,4,0.01
1990,9,38,W,Wa Southern Coast,Private/Rental Boats,Estuary,Southern Washington,Salmon,Yelloweye Rockfish,1,0.003,-,-,-,-,1,0.003
1990,4,18,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,39,0.1,-,-,-,-,39,0.1
1990,5,21,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,6,0.015,-,-,-,-,6,0.015
1990,6,23,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,3,0.008,-,-,-,-,3,0.008
1990,6,24,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,42,0.108,-,-,-,-,42,0.108
1990,6,25,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,4,0.01,-,-,-,-,4,0.01
1990,6,26,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,59,0.151,-,-,-,-,59,0.151
1990,6,26,W,Wa Southern Coast,Private/Rental Boats,Ocean,Southern Washington,Salmon,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,6,26,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Salmon,Yelloweye Rockfish,11,0.028,-,-,-,-,11,0.028
1990,7,27,W,Wa Southern Coast,Private/Rental Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,5,0.013,-,-,-,-,5,0.013
1990,7,27,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,22,0.056,-,-,-,-,22,0.056
1990,7,28,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,57,0.146,-,-,-,-,57,0.146
1990,7,28,W,Wa Southern Coast,Private/Rental Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,3,0.008,-,-,-,-,3,0.008
1990,7,29,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,86,0.221,-,-,-,-,86,0.221
1990,7,30,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,23,0.059,-,-,-,-,23,0.059
1990,8,32,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Salmon,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,9,37,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,9,39,W,Wa Southern Coast,Party/Charter Boats,Ocean,Southern Washington,Bottomfish,Yelloweye Rockfish,5,0.013,-,-,-,-,5,0.013
1991,5,18,W,Wa Central Coast,Party/Charter Boats,Estuary,Southern Washington,Bottomfish,Yelloweye Rockfish,1,0.003,-,-,-,-,1,0.003
1991,9,39,W,Wa Central Coast,Party/Charter Boats,Estuary,Southern Washington,Salmon,Yelloweye Rockfish,1,0.003,-,-,-,-,1,0.003
