"year","month","fleet_nb","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
2018,7,4,0,0,37.004,0,1,1,0,0,2,4,1,2,3,5,2,4,5,3,2,2,2,2,4,1,2,1,0,2,3,3,0,0,1,0,0,0
2018,7,5,0,0,144.408,0,0,0,0,0,0,3,7,9,7,16,21,30,20,21,25,34,31,44,24,25,23,23,18,12,5,1,10,2,0,2,2,1
2019,7,1,0,0,11.346,0,0,0,0,2,0,0,1,1,1,2,1,0,2,1,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,2,0,0,39.354,0,0,0,0,0,0,1,0,0,2,1,3,1,6,3,9,5,11,6,14,10,11,10,14,8,6,7,3,1,1,0,0,0
2019,7,4,0,0,130.052,0,1,1,0,0,6,7,9,14,14,11,21,24,19,15,10,8,16,16,14,8,7,5,3,6,4,5,2,4,1,3,0,0
2019,7,5,0,0,196.906,0,0,0,0,0,0,1,6,11,11,12,19,26,32,24,35,49,40,59,59,47,47,40,44,25,17,17,6,5,5,0,0,0
2020,7,1,0,0,15.692,0,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,2,2,0,0,6,0,5,3,3,0,2,1,0,0,0,0,0
2020,7,2,0,0,16.726,0,0,0,0,0,1,0,0,1,1,1,2,1,2,1,3,1,0,0,2,3,4,0,0,0,1,3,0,0,0,0,0,0
2020,7,4,0,0,69.112,0,0,0,0,0,2,4,6,7,6,6,5,13,7,12,7,9,7,9,5,3,5,2,3,0,2,1,2,1,0,0,0,0
2020,7,5,0,0,96.362,0,0,1,0,0,0,3,4,6,4,12,11,20,17,6,13,27,17,16,14,14,21,12,6,11,6,1,5,1,1,0,0,0
2021,7,1,0,0,24.52,0,0,0,0,0,1,0,1,2,1,0,3,4,3,6,5,3,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,2,0,0,53.324,1,0,0,0,0,1,1,0,4,7,4,11,19,25,13,23,19,17,9,9,8,3,7,9,3,1,3,0,0,1,0,0,0
2021,7,4,0,0,86.974,0,1,1,0,0,1,1,2,5,3,7,7,6,13,6,7,7,8,11,5,4,4,5,5,2,6,2,1,1,1,1,0,0
2021,7,5,0,0,161.24,0,0,0,0,0,0,4,2,4,3,3,8,20,28,21,31,39,42,29,41,32,32,37,33,25,20,12,9,3,2,0,0,0
2022,7,1,0,0,8.38,0,0,0,0,0,0,1,0,1,2,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,2,0,0,72.186,0,0,0,0,1,1,1,2,2,4,1,2,3,6,12,6,11,18,16,13,16,15,13,17,13,13,6,2,1,1,0,0,1
2022,7,4,0,0,73.906,0,0,0,0,0,0,2,0,5,7,7,10,6,16,16,13,8,7,12,3,7,3,4,1,6,0,1,1,0,1,1,0,0
2022,7,5,0,0,186.428,0,0,0,0,0,0,1,2,4,5,9,14,16,29,45,46,46,62,87,58,51,65,51,38,32,21,13,7,2,0,1,0,1
2023,7,1,0,0,10.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,3,1,1,1,2,1,0,1,0,0,0,0,0,0,0
2023,7,2,0,0,28.696,0,0,0,0,0,0,1,1,0,1,1,1,1,2,3,1,8,7,5,7,8,6,7,6,10,8,0,3,1,3,0,1,0
2023,7,4,0,0,78.184,0,0,0,0,0,0,0,0,6,6,9,12,13,15,17,14,12,13,7,4,7,6,8,2,3,4,4,3,1,0,1,1,0
2023,7,5,0,0,278.658,0,0,0,0,0,0,0,1,5,5,8,14,26,37,32,72,90,114,122,108,63,60,70,75,50,47,19,11,8,3,0,0,1
2024,7,1,0,0,30.936,0,0,0,0,0,0,1,0,1,2,1,1,2,7,7,9,12,6,5,3,3,3,3,4,2,0,0,0,0,0,0,0,0
2024,7,4,0,0,90.634,0,0,0,0,0,0,0,1,3,7,8,18,12,24,17,11,20,20,15,6,7,7,6,3,1,3,2,0,1,0,1,0,0
2024,7,5,0,0,202.12,0,0,0,0,0,0,0,0,0,0,1,2,6,19,42,58,57,69,57,56,54,66,52,60,49,50,27,7,7,1,0,0,0
